district,state,lat,lon,flood_type
North Goa,Goa,15.480081,73.822329,Coastal / river flood
South Goa,Goa,15.304936,73.959411,Coastal / river flood
Ahmedabad,Gujarat,22.288068,71.415475,Coastal / river flood
Amreli,Gujarat,21.598002,71.216081,Coastal / river flood
Anand,Gujarat,22.566883,72.953775,Coastal / river flood
Arvalli,Gujarat,22.544488,71.3574,Coastal / river flood
Banas Kantha,Gujarat,24.185024,72.444088,Coastal / river flood
Bharuch,Gujarat,21.69417,72.978556,Coastal / river flood
Bhavnagar,Gujarat,21.77414,72.139722,Coastal / river flood
Botad,Gujarat,22.113048,71.139387,Coastal / river flood
Chhotaudepur,Gujarat,22.346432,71.360932,Coastal / river flood
Dahod,Gujarat,22.316934,70.975067,Coastal / river flood
Dangs,Gujarat,22.039418,71.332098,Coastal / river flood
Devbhumi Dwarka,Gujarat,22.549218,71.243626,Coastal / river flood
Gandhinagar,Gujarat,23.235737,72.671374,Coastal / river flood
Gir Somnath,Gujarat,22.226888,71.556011,Coastal / river flood
Jamnagar,Gujarat,22.471076,70.07265,Coastal / river flood
Junagadh,Gujarat,21.522705,70.461296,Coastal / river flood
Kachchh,Gujarat,23.251213,69.666108,Coastal / river flood
Kheda,Gujarat,22.747316,72.695273,Coastal / river flood
Mahesana,Gujarat,23.60274,72.385689,Coastal / river flood
Mahisagar,Gujarat,22.51475,71.147251,Coastal / river flood
Morbi,Gujarat,22.0099,71.033897,Coastal / river flood
Narmada,Gujarat,21.875823,73.499823,Coastal / river flood
Navsari,Gujarat,20.948755,72.925226,Coastal / river flood
Panch Mahals,Gujarat,22.772915,73.60953,Coastal / river flood
Patan,Gujarat,23.845103,72.111466,Coastal / river flood
Porbandar,Gujarat,21.636581,69.59674,Coastal / river flood
Rajkot,Gujarat,22.295207,70.805355,Coastal / river flood
Sabar Kantha,Gujarat,23.605115,72.96492,Coastal / river flood
Surat,Gujarat,21.205128,72.847119,Coastal / river flood
Surendranagar,Gujarat,22.732978,71.614645,Coastal / river flood
Tapi,Gujarat,22.301774,70.865223,Coastal / river flood
Ambala,Haryana,30.376076,76.78821,Riverine flood
Bhiwani,Haryana,28.791052,76.143875,Riverine flood
Charkhi Dadri,Haryana,28.973947,76.000747,Riverine flood
Faridabad,Haryana,28.427902,77.329409,Riverine flood
Fatehabad,Haryana,29.516385,75.4548,Riverine flood
Gurugram,Haryana,28.835725,76.114968,Riverine flood
Hisar,Haryana,29.151765,75.725027,Riverine flood
Jhajjar,Haryana,28.601349,76.6536,Riverine flood
Jind,Haryana,29.318821,76.313347,Riverine flood
Kaithal,Haryana,29.804185,76.399321,Riverine flood
Karnal,Haryana,29.692495,76.985142,Riverine flood
Kurukshetra,Haryana,29.962444,76.838151,Riverine flood
Mahendragarh,Haryana,28.045836,76.11006,Riverine flood
Nuh,Haryana,28.890268,76.173332,Riverine flood
Palwal,Haryana,29.276133,76.143834,Riverine flood
Panchkula,Haryana,30.722619,76.880191,Riverine flood
Panipat,Haryana,29.387951,76.968552,Riverine flood
Rewari,Haryana,28.198138,76.615433,Riverine flood
Rohtak,Haryana,28.888214,76.587935,Riverine flood
Sirsa,Haryana,29.531177,75.026343,Riverine flood
Bilaspur,Himachal Pradesh,31.323902,76.761527,Flash / glacial flood
Chamba,Himachal Pradesh,32.558843,76.126097,Flash / glacial flood
Hamirpur,Himachal Pradesh,31.672705,76.521404,Flash / glacial flood
Kangra,Himachal Pradesh,32.217751,76.31406,Flash / glacial flood
Kinnaur,Himachal Pradesh,31.546954,78.26285,Flash / glacial flood
Kullu,Himachal Pradesh,31.960573,77.107897,Flash / glacial flood
Lahaul And Spiti,Himachal Pradesh,30.786044,77.25881,Flash / glacial flood
Mandi,Himachal Pradesh,31.711956,76.932031,Flash / glacial flood
Shimla,Himachal Pradesh,31.10003,77.171181,Flash / glacial flood
Sirmaur,Himachal Pradesh,30.525617,77.230732,Flash / glacial flood
Solan,Himachal Pradesh,30.910522,77.108405,Flash / glacial flood
Una,Himachal Pradesh,31.46426,76.268458,Flash / glacial flood
Anantnag,Jammu And Kashmir,33.8907,76.771056,Flash / glacial flood
Bandipora,Jammu And Kashmir,33.834474,76.322363,Flash / glacial flood
Baramulla,Jammu And Kashmir,33.53655,76.745405,Flash / glacial flood
Budgam,Jammu And Kashmir,34.105377,76.619274,Flash / glacial flood
Doda,Jammu And Kashmir,33.543583,76.296594,Flash / glacial flood
Ganderbal,Jammu And Kashmir,33.760752,76.975819,Flash / glacial flood
Jammu,Jammu And Kashmir,33.863053,76.491347,Flash / glacial flood
Kathua,Jammu And Kashmir,33.623348,76.582961,Flash / glacial flood
Kishtwar,Jammu And Kashmir,33.923748,76.69833,Flash / glacial flood
Kulgam,Jammu And Kashmir,33.748832,76.353125,Flash / glacial flood
Kupwara,Jammu And Kashmir,33.62907,76.78918,Flash / glacial flood
Poonch,Jammu And Kashmir,34.066207,76.51235,Flash / glacial flood
Pulwama,Jammu And Kashmir,33.492412,76.4112,Flash / glacial flood
Rajouri,Jammu And Kashmir,33.887958,76.924307,Flash / glacial flood
Ramban,Jammu And Kashmir,33.947247,76.213677,Flash / glacial flood
Reasi,Jammu And Kashmir,33.667334,76.622122,Flash / glacial flood
Samba,Jammu And Kashmir,33.923852,76.629213,Flash / glacial flood
Shopian,Jammu And Kashmir,33.690468,76.407668,Flash / glacial flood
Srinagar,Jammu And Kashmir,33.719966,76.793533,Flash / glacial flood
Udhampur,Jammu And Kashmir,33.997482,76.436502,Flash / glacial flood
Bokaro,Jharkhand,23.640657,86.162947,Urban / river flood
Chatra,Jharkhand,24.208676,84.866295,Urban / river flood
Deoghar,Jharkhand,24.481265,86.700615,Urban / river flood
Dhanbad,Jharkhand,23.797727,86.436225,Urban / river flood
Dumka,Jharkhand,24.271014,87.249367,Urban / river flood
East Singhbum,Jharkhand,23.495922,85.175184,Urban / river flood
Garhwa,Jharkhand,24.17351,83.81231,Urban / river flood
Giridih,Jharkhand,24.189967,86.313267,Urban / river flood
Godda,Jharkhand,24.829078,87.215924,Urban / river flood
Gumla,Jharkhand,23.026635,84.534374,Urban / river flood
Hazaribagh,Jharkhand,23.52479,84.961144,Urban / river flood
Jamtara,Jharkhand,23.959798,86.788385,Urban / river flood
Khunti,Jharkhand,23.986077,85.143092,Urban / river flood
Koderma,Jharkhand,23.499334,85.233978,Urban / river flood
Latehar,Jharkhand,23.75162,84.509376,Urban / river flood
Lohardaga,Jharkhand,23.432486,84.681568,Urban / river flood
Pakur,Jharkhand,23.415344,85.3924,Urban / river flood
Palamu,Jharkhand,24.040242,84.069328,Urban / river flood
Ramgarh,Jharkhand,23.440995,85.03825,Urban / river flood
Ranchi,Jharkhand,23.363068,85.340321,Urban / river flood
Sahebganj,Jharkhand,23.889806,85.045283,Urban / river flood
Saraikela Kharsawan,Jharkhand,23.210581,85.262452,Urban / river flood
Bagalkote,Karnataka,15.402153,75.798753,Coastal / river flood
Ballari,Karnataka,15.310539,75.559048,Coastal / river flood
Belagavi,Karnataka,15.19517,75.859448,Coastal / river flood
Bengaluru Rural,Karnataka,15.540375,75.684532,Coastal / river flood
Bengaluru South,Karnataka,15.10432,75.56477,Coastal / river flood
Bengaluru Urban,Karnataka,15.38115,76.001907,Coastal / river flood
Bidar,Karnataka,17.915869,77.531757,Coastal / river flood
Chamarajanagar,Karnataka,14.969193,75.823658,Coastal / river flood
Chikkaballapura,Karnataka,15.679823,75.882947,Coastal / river flood
Chikkamagaluru,Karnataka,15.271378,75.603034,Coastal / river flood
Chitradurga,Karnataka,14.227245,76.402839,Coastal / river flood
Dakshina Kannada,Karnataka,12.863889,74.841219,Coastal / river flood
Davanagere,Karnataka,15.099967,75.655666,Coastal / river flood
Dharwad,Karnataka,15.452454,75.012073,Coastal / river flood
Gadag,Karnataka,15.441432,75.646857,Coastal / river flood
Hassan,Karnataka,13.008913,76.098149,Coastal / river flood
Haveri,Karnataka,14.810215,75.407562,Coastal / river flood
Kalaburagi,Karnataka,15.047064,75.418989,Coastal / river flood
Kodagu,Karnataka,12.422433,75.744027,Coastal / river flood
Kolar,Karnataka,13.135759,78.136263,Coastal / river flood
Koppal,Karnataka,15.362997,76.167916,Coastal / river flood
Mandya,Karnataka,12.517368,76.898666,Coastal / river flood
Mysuru,Karnataka,15.272151,75.45785,Coastal / river flood
Raichur,Karnataka,16.207752,77.358779,Coastal / river flood
Shivamogga,Karnataka,15.636056,75.62849,Coastal / river flood
Tumakuru,Karnataka,14.993541,75.545362,Coastal / river flood
Udupi,Karnataka,13.359567,74.759237,Coastal / river flood
Uttara Kannada,Karnataka,14.804209,74.131214,Coastal / river flood
Vijayanagara,Karnataka,15.176822,75.779406,Coastal / river flood
Alappuzha,Kerala,9.501632,76.329606,Coastal / river flood
Ernakulam,Kerala,9.956764,76.292401,Coastal / river flood
Idukki,Kerala,9.900515,77.176271,Coastal / river flood
Kannur,Kerala,11.868687,75.36639,Coastal / river flood
Kasaragod,Kerala,12.498305,74.990213,Coastal / river flood
Kollam,Kerala,8.888392,76.609021,Coastal / river flood
Kottayam,Kerala,9.595602,76.521426,Coastal / river flood
Kozhikode,Kerala,11.239895,75.795215,Coastal / river flood
Malappuram,Kerala,11.043786,76.085683,Coastal / river flood
Palakkad,Kerala,10.772089,76.658319,Coastal / river flood
Pathanamthitta,Kerala,9.294782,76.75528,Coastal / river flood
Thiruvananthapuram,Kerala,8.490191,76.917805,Coastal / river flood
Thrissur,Kerala,10.522671,76.21865,Coastal / river flood
Wayanad,Kerala,11.606117,76.088347,Coastal / river flood
Kargil,Ladakh,34.042842,77.228893,Flash / glacial flood
Leh Ladakh,Ladakh,33.983553,77.939523,Flash / glacial flood
Lakshadweep District,Lakshadweep,10.677566,72.595778,Coastal / river flood
Agar-Malwa,Madhya Pradesh,22.827748,78.603887,Urban / river flood
Alirajpur,Madhya Pradesh,23.061132,78.825432,Urban / river flood
Anuppur,Madhya Pradesh,23.097789,81.701139,Urban / river flood
Ashoknagar,Madhya Pradesh,24.568718,77.728572,Urban / river flood
Balaghat,Madhya Pradesh,21.815447,80.1932,Urban / river flood
Barwani,Madhya Pradesh,22.02929,74.891275,Urban / river flood
Betul,Madhya Pradesh,21.903513,77.902064,Urban / river flood
Bhind,Madhya Pradesh,26.564114,78.789336,Urban / river flood
Bhopal,Madhya Pradesh,23.266323,77.414303,Urban / river flood
Burhanpur,Madhya Pradesh,21.33186,76.20459,Urban / river flood
Chhatarpur,Madhya Pradesh,24.915425,79.592243,Urban / river flood
Chhindwara,Madhya Pradesh,22.057572,78.940098,Urban / river flood
Damoh,Madhya Pradesh,23.824248,79.455215,Urban / river flood
Datia,Madhya Pradesh,25.673026,78.458158,Urban / river flood
Dewas,Madhya Pradesh,22.962736,76.071156,Urban / river flood
Dhar,Madhya Pradesh,22.598554,75.314536,Urban / river flood
Dindori,Madhya Pradesh,22.939702,81.083584,Urban / river flood
Guna,Madhya Pradesh,24.644351,77.313136,Urban / river flood
Gwalior,Madhya Pradesh,26.222524,78.168463,Urban / river flood
Harda,Madhya Pradesh,22.336719,77.085484,Urban / river flood
Indore,Madhya Pradesh,22.716881,75.867271,Urban / river flood
Jabalpur,Madhya Pradesh,23.172246,79.937619,Urban / river flood
Jhabua,Madhya Pradesh,22.769906,74.599553,Urban / river flood
Katni,Madhya Pradesh,23.841092,80.397878,Urban / river flood
Khandwa (East Nimar),Madhya Pradesh,22.693794,78.891517,Urban / river flood
Khargone (West Nimar),Madhya Pradesh,23.373019,78.674348,Urban / river flood
MAUGANJ,Madhya Pradesh,22.888547,78.572047,Urban / river flood
Maihar,Madhya Pradesh,22.980161,78.811752,Urban / river flood
Mandla,Madhya Pradesh,22.605889,80.370917,Urban / river flood
Mandsaur,Madhya Pradesh,24.063675,75.074883,Urban / river flood
Morena,Madhya Pradesh,26.500863,78.001752,Urban / river flood
Narmadapuram,Madhya Pradesh,22.90955,78.368893,Urban / river flood
Narsimhapur,Madhya Pradesh,22.948386,79.193312,Urban / river flood
Neemuch,Madhya Pradesh,24.473691,74.876342,Urban / river flood
Niwari,Madhya Pradesh,22.610877,78.487853,Urban / river flood
Pandhurna,Madhya Pradesh,23.019322,78.767766,Urban / river flood
Panna,Madhya Pradesh,24.719464,80.189266,Urban / river flood
Raisen,Madhya Pradesh,23.33011,77.780588,Urban / river flood
Rajgarh,Madhya Pradesh,24.005868,76.739744,Urban / river flood
Ratlam,Madhya Pradesh,23.327034,75.040755,Urban / river flood
Rewa,Madhya Pradesh,24.540725,81.288305,Urban / river flood
Sagar,Madhya Pradesh,23.837188,78.749867,Urban / river flood
Satna,Madhya Pradesh,24.566488,80.833433,Urban / river flood
Sehore,Madhya Pradesh,23.206208,77.085006,Urban / river flood
Seoni,Madhya Pradesh,22.088143,79.548337,Urban / river flood
Shahdol,Madhya Pradesh,23.294345,81.360684,Urban / river flood
Shajapur,Madhya Pradesh,23.423091,76.280682,Urban / river flood
Sheopur,Madhya Pradesh,25.676035,76.698332,Urban / river flood
Shivpuri,Madhya Pradesh,25.42602,77.653283,Urban / river flood
Sidhi,Madhya Pradesh,24.409558,81.883792,Urban / river flood
Singrauli,Madhya Pradesh,22.654644,78.74231,Urban / river flood
Tikamgarh,Madhya Pradesh,24.743252,78.831962,Urban / river flood
Ahilyanagar,Maharashtra,19.614692,75.338023,Coastal / river flood
Akola,Maharashtra,20.710576,77.00373,Coastal / river flood
Amravati,Maharashtra,20.937346,77.760249,Coastal / river flood
Beed,Maharashtra,19.570294,75.656766,Coastal / river flood
Bhandara,Maharashtra,21.169245,79.657152,Coastal / river flood
Buldhana,Maharashtra,19.807774,75.460063,Coastal / river flood
Chandrapur,Maharashtra,19.951685,79.295823,Coastal / river flood
Chhatrapati Sambhajinagar,Maharashtra,20.078677,75.756974,Coastal / river flood
Dharashiv,Maharashtra,19.516883,75.434294,Coastal / river flood
Dhule,Maharashtra,20.90441,74.781243,Coastal / river flood
Gadchiroli,Maharashtra,20.184794,80.007887,Coastal / river flood
Gondia,Maharashtra,19.596648,75.720661,Coastal / river flood
Hingoli,Maharashtra,19.713154,77.153409,Coastal / river flood
Jalgaon,Maharashtra,21.009559,75.570044,Coastal / river flood
Jalna,Maharashtra,19.848844,75.901627,Coastal / river flood
Kolhapur,Maharashtra,16.694394,74.22406,Coastal / river flood
Latur,Maharashtra,18.401122,76.576955,Coastal / river flood
Mumbai,Maharashtra,18.987074,72.830007,Coastal / river flood
Mumbai Suburban,Maharashtra,19.054135,72.832678,Coastal / river flood
Nagpur,Maharashtra,21.148204,79.096814,Coastal / river flood
Nanded,Maharashtra,19.159314,77.313188,Coastal / river flood
Nandurbar,Maharashtra,21.36675,74.244736,Coastal / river flood
Nashik,Maharashtra,20.006006,73.795878,Coastal / river flood
Palghar,Maharashtra,19.970782,75.574202,Coastal / river flood
Parbhani,Maharashtra,19.268358,76.777025,Coastal / river flood
Pune,Maharashtra,18.525994,73.862602,Coastal / river flood
Raigad,Maharashtra,19.783312,75.350289,Coastal / river flood
Ratnagiri,Maharashtra,16.990597,73.297537,Coastal / river flood
Sangli,Maharashtra,16.860757,74.57878,Coastal / river flood
Satara,Maharashtra,17.690393,74.010744,Coastal / river flood
Sindhudurg,Maharashtra,16.107985,73.714977,Coastal / river flood
Solapur,Maharashtra,17.672099,75.907906,Coastal / river flood
Thane,Maharashtra,19.205931,72.971198,Coastal / river flood
Wardha,Maharashtra,20.735221,78.604456,Coastal / river flood
Bishnupur,Manipur,24.632371,93.764667,Urban / river flood
Chandel,Manipur,24.320947,93.989857,Urban / river flood
Churachandpur,Manipur,24.334438,93.658102,Urban / river flood
Imphal East,Manipur,24.811571,93.950799,Urban / river flood
Imphal West,Manipur,24.729206,94.046778,Urban / river flood
Jiribam,Manipur,24.720834,93.725094,Urban / river flood
Kakching,Manipur,24.468844,94.0188,Urban / river flood
Kamjong,Manipur,24.917537,93.962574,Urban / river flood
Kangpokpi,Manipur,24.494495,93.66465,Urban / river flood
Noney,Manipur,24.620626,94.233477,Urban / river flood
Pherzawl,Manipur,24.943306,93.671683,Urban / river flood
Senapati,Manipur,25.302888,94.048471,Urban / river flood
Tamenglong,Manipur,24.996325,93.502375,Urban / river flood
Tengnoupal,Manipur,24.656939,93.751448,Urban / river flood
Thoubal,Manipur,24.637889,94.006052,Urban / river flood
Ukhrul,Manipur,25.091234,94.363891,Urban / river flood
East Garo Hills,Meghalaya,25.528369,90.593784,Urban / river flood
East Jaintia Hills,Meghalaya,25.53085,91.654207,Urban / river flood
East Khasi Hills,Meghalaya,25.588025,91.887356,Urban / river flood
Eastern West Khasi Hills,Meghalaya,25.118893,91.475958,Urban / river flood
North Garo Hills,Meghalaya,25.829523,91.535247,Urban / river flood
Ri Bhoi,Meghalaya,25.915944,91.88132,Urban / river flood
South Garo Hills,Meghalaya,25.200104,90.645557,Urban / river flood
South West Garo Hills,Meghalaya,25.635532,91.278468,Urban / river flood
South West Khasi Hills,Meghalaya,25.249667,91.307966,Urban / river flood
West Garo Hills,Meghalaya,25.505214,90.280827,Urban / river flood
West Jaintia Hills,Meghalaya,25.518226,91.075682,Urban / river flood
West Khasi Hills,Meghalaya,25.518083,91.269445,Urban / river flood
Aizawl,Mizoram,23.748659,92.728016,Urban / river flood
