district,state,year,flood_events,area_affected_ha,people_affected,damage_cr
Palnadu,Andhra Pradesh,2015,1,5875,38983,300
Palnadu,Andhra Pradesh,2016,1,5175,34648,87
Palnadu,Andhra Pradesh,2017,2,12760,19330,311
Palnadu,Andhra Pradesh,2018,3,16118,31155,347
Palnadu,Andhra Pradesh,2019,4,7259,72117,262
Palnadu,Andhra Pradesh,2020,2,17983,19113,307
Palnadu,Andhra Pradesh,2021,4,19228,46337,234
Palnadu,Andhra Pradesh,2022,4,16068,67261,54
Palnadu,Andhra Pradesh,2023,1,9712,24676,183
Palnadu,Andhra Pradesh,2024,2,19885,53154,270
Parvathipuram Manyam,Andhra Pradesh,2015,3,6891,36399,137
Parvathipuram Manyam,Andhra Pradesh,2016,1,11300,25954,152
Parvathipuram Manyam,Andhra Pradesh,2017,2,8929,21113,125
Parvathipuram Manyam,Andhra Pradesh,2018,5,10958,61720,200
Parvathipuram Manyam,Andhra Pradesh,2019,1,15789,23164,141
Parvathipuram Manyam,Andhra Pradesh,2020,4,18159,71547,394
Parvathipuram Manyam,Andhra Pradesh,2021,1,19625,65059,67
Parvathipuram Manyam,Andhra Pradesh,2022,3,3835,77654,319
Parvathipuram Manyam,Andhra Pradesh,2023,1,4333,37719,380
Parvathipuram Manyam,Andhra Pradesh,2024,2,12955,55668,60
Prakasam,Andhra Pradesh,2015,4,16250,18775,132
Prakasam,Andhra Pradesh,2016,5,5694,11595,138
Prakasam,Andhra Pradesh,2017,4,14870,74178,383
Prakasam,Andhra Pradesh,2018,5,8038,36970,58
Prakasam,Andhra Pradesh,2019,5,5570,47122,119
Prakasam,Andhra Pradesh,2020,3,10764,72951,281
Prakasam,Andhra Pradesh,2021,4,16993,24668,68
Prakasam,Andhra Pradesh,2022,2,5199,50322,118
Prakasam,Andhra Pradesh,2023,1,4816,67254,147
Prakasam,Andhra Pradesh,2024,5,17363,60880,163
Sri Potti Sriramulu Nellore,Andhra Pradesh,2015,5,10992,57966,54
Sri Potti Sriramulu Nellore,Andhra Pradesh,2016,5,14264,25125,291
Sri Potti Sriramulu Nellore,Andhra Pradesh,2017,1,9537,54866,169
Sri Potti Sriramulu Nellore,Andhra Pradesh,2018,2,13657,48301,70
Sri Potti Sriramulu Nellore,Andhra Pradesh,2019,2,6689,50196,366
Sri Potti Sriramulu Nellore,Andhra Pradesh,2020,4,11365,74487,331
Sri Potti Sriramulu Nellore,Andhra Pradesh,2021,1,3657,60911,360
Sri Potti Sriramulu Nellore,Andhra Pradesh,2022,2,10384,12034,158
Sri Potti Sriramulu Nellore,Andhra Pradesh,2023,5,18051,23009,149
Sri Potti Sriramulu Nellore,Andhra Pradesh,2024,3,3750,62815,341
Sri Sathya Sai,Andhra Pradesh,2015,4,11650,64018,345
Sri Sathya Sai,Andhra Pradesh,2016,1,14737,59571,141
Sri Sathya Sai,Andhra Pradesh,2017,4,10237,19668,303
Sri Sathya Sai,Andhra Pradesh,2018,1,16503,79603,62
Sri Sathya Sai,Andhra Pradesh,2019,2,15493,78390,207
Sri Sathya Sai,Andhra Pradesh,2020,4,14689,33364,354
Sri Sathya Sai,Andhra Pradesh,2021,2,13866,60845,211
Sri Sathya Sai,Andhra Pradesh,2022,3,19767,40745,225
Sri Sathya Sai,Andhra Pradesh,2023,4,12690,40745,364
Sri Sathya Sai,Andhra Pradesh,2024,5,4116,64457,204
Srikakulam,Andhra Pradesh,2015,4,17993,45493,297
Srikakulam,Andhra Pradesh,2016,3,13642,74909,151
Srikakulam,Andhra Pradesh,2017,1,3774,43699,197
Srikakulam,Andhra Pradesh,2018,5,19192,78518,100
Srikakulam,Andhra Pradesh,2019,1,19966,44884,120
Srikakulam,Andhra Pradesh,2020,4,4369,39738,215
Srikakulam,Andhra Pradesh,2021,2,19742,24123,231
Srikakulam,Andhra Pradesh,2022,4,6877,23050,362
Srikakulam,Andhra Pradesh,2023,4,5933,50893,190
Srikakulam,Andhra Pradesh,2024,4,7609,63595,146
Tirupati,Andhra Pradesh,2015,1,9058,60121,57
Tirupati,Andhra Pradesh,2016,4,18145,55795,108
Tirupati,Andhra Pradesh,2017,3,18264,30421,392
Tirupati,Andhra Pradesh,2018,1,12507,71411,169
Tirupati,Andhra Pradesh,2019,4,17291,39600,391
Tirupati,Andhra Pradesh,2020,1,9499,48634,238
Tirupati,Andhra Pradesh,2021,2,4294,58535,314
Tirupati,Andhra Pradesh,2022,5,18930,56059,249
Tirupati,Andhra Pradesh,2023,5,12612,10274,195
Tirupati,Andhra Pradesh,2024,2,14807,35333,62
Visakhapatnam,Andhra Pradesh,2015,1,8082,67426,156
Visakhapatnam,Andhra Pradesh,2016,3,16197,25179,299
Visakhapatnam,Andhra Pradesh,2017,2,6356,37790,236
Visakhapatnam,Andhra Pradesh,2018,3,18640,55159,365
Visakhapatnam,Andhra Pradesh,2019,5,6323,24845,167
Visakhapatnam,Andhra Pradesh,2020,2,9828,76465,272
Visakhapatnam,Andhra Pradesh,2021,4,12002,75781,316
Visakhapatnam,Andhra Pradesh,2022,4,18073,26527,152
Visakhapatnam,Andhra Pradesh,2023,2,15782,12312,138
Visakhapatnam,Andhra Pradesh,2024,4,8245,42187,243
Vizianagaram,Andhra Pradesh,2015,5,15296,58768,55
Vizianagaram,Andhra Pradesh,2016,5,4875,30180,191
Vizianagaram,Andhra Pradesh,2017,1,6779,69193,253
Vizianagaram,Andhra Pradesh,2018,4,14768,43629,351
Vizianagaram,Andhra Pradesh,2019,1,18465,19279,162
Vizianagaram,Andhra Pradesh,2020,1,14670,42730,187
Vizianagaram,Andhra Pradesh,2021,2,8538,70950,399
Vizianagaram,Andhra Pradesh,2022,3,9518,34021,69
Vizianagaram,Andhra Pradesh,2023,3,10324,61041,314
Vizianagaram,Andhra Pradesh,2024,3,17570,36097,145
Anjaw,Arunachal Pradesh,2015,0,2575,13256,62
Anjaw,Arunachal Pradesh,2016,0,4411,10934,57
Anjaw,Arunachal Pradesh,2017,0,3612,1480,31
Anjaw,Arunachal Pradesh,2018,0,3519,4057,28
Anjaw,Arunachal Pradesh,2019,1,4165,5036,40
Anjaw,Arunachal Pradesh,2020,0,4439,11115,98
Anjaw,Arunachal Pradesh,2021,2,1504,10750,16
Anjaw,Arunachal Pradesh,2022,1,3332,5215,73
Anjaw,Arunachal Pradesh,2023,1,4677,8805,37
Anjaw,Arunachal Pradesh,2024,2,3417,12607,33
Bichom,Arunachal Pradesh,2015,0,2022,5444,69
Bichom,Arunachal Pradesh,2016,1,3945,2384,35
Bichom,Arunachal Pradesh,2017,2,4247,11233,96
Bichom,Arunachal Pradesh,2018,2,2897,3127,70
Bichom,Arunachal Pradesh,2019,0,3629,7870,45
Bichom,Arunachal Pradesh,2020,1,525,10036,28
Bichom,Arunachal Pradesh,2021,2,4086,5588,100
Bichom,Arunachal Pradesh,2022,1,3915,4328,12
Bichom,Arunachal Pradesh,2023,0,1786,6650,58
Bichom,Arunachal Pradesh,2024,2,2297,7216,13
Changlang,Arunachal Pradesh,2015,0,4241,9789,81
Changlang,Arunachal Pradesh,2016,2,2907,4056,16
Changlang,Arunachal Pradesh,2017,2,3017,13843,58
Changlang,Arunachal Pradesh,2018,1,4394,9542,94
Changlang,Arunachal Pradesh,2019,1,2625,13784,87
Changlang,Arunachal Pradesh,2020,1,701,6729,31
Changlang,Arunachal Pradesh,2021,2,2383,12285,69
Changlang,Arunachal Pradesh,2022,1,3184,3825,85
Changlang,Arunachal Pradesh,2023,2,1971,13075,85
Changlang,Arunachal Pradesh,2024,1,4121,13799,76
Dibang Valley,Arunachal Pradesh,2015,1,1320,5584,13
Dibang Valley,Arunachal Pradesh,2016,2,4257,9880,61
Dibang Valley,Arunachal Pradesh,2017,2,1863,2077,92
Dibang Valley,Arunachal Pradesh,2018,1,1732,12426,33
Dibang Valley,Arunachal Pradesh,2019,1,1901,7888,85
Dibang Valley,Arunachal Pradesh,2020,0,4383,8290,65
Dibang Valley,Arunachal Pradesh,2021,0,2655,8047,43
Dibang Valley,Arunachal Pradesh,2022,1,3119,5368,13
Dibang Valley,Arunachal Pradesh,2023,0,1133,9113,83
Dibang Valley,Arunachal Pradesh,2024,2,3862,6382,23
East Kameng,Arunachal Pradesh,2015,1,883,11636,82
East Kameng,Arunachal Pradesh,2016,2,987,6741,27
East Kameng,Arunachal Pradesh,2017,2,4105,14244,23
East Kameng,Arunachal Pradesh,2018,2,1253,3840,32
East Kameng,Arunachal Pradesh,2019,2,3635,3558,28
East Kameng,Arunachal Pradesh,2020,2,4711,12407,92
East Kameng,Arunachal Pradesh,2021,0,3944,1957,86
East Kameng,Arunachal Pradesh,2022,2,3142,3329,39
East Kameng,Arunachal Pradesh,2023,2,4970,9395,23
East Kameng,Arunachal Pradesh,2024,0,4135,12690,97
East Siang,Arunachal Pradesh,2015,0,2122,1302,28
East Siang,Arunachal Pradesh,2016,1,612,14484,58
East Siang,Arunachal Pradesh,2017,0,3404,4692,18
East Siang,Arunachal Pradesh,2018,2,2067,12279,98
East Siang,Arunachal Pradesh,2019,1,3410,11929,68
East Siang,Arunachal Pradesh,2020,2,2687,6442,90
East Siang,Arunachal Pradesh,2021,0,2906,5452,38
East Siang,Arunachal Pradesh,2022,2,3012,11453,17
East Siang,Arunachal Pradesh,2023,1,1298,7899,16
East Siang,Arunachal Pradesh,2024,0,4801,2993,33
Kamle,Arunachal Pradesh,2015,2,1398,6185,40
Kamle,Arunachal Pradesh,2016,0,819,3083,10
Kamle,Arunachal Pradesh,2017,0,3520,8331,62
Kamle,Arunachal Pradesh,2018,2,3371,4209,51
Kamle,Arunachal Pradesh,2019,0,4573,2463,38
Kamle,Arunachal Pradesh,2020,0,1091,5848,49
Kamle,Arunachal Pradesh,2021,0,833,13835,25
Kamle,Arunachal Pradesh,2022,2,1993,3955,73
Kamle,Arunachal Pradesh,2023,0,3776,8437,51
Kamle,Arunachal Pradesh,2024,1,4314,4569,84
Keyi Panyor,Arunachal Pradesh,2015,0,2544,11145,25
Keyi Panyor,Arunachal Pradesh,2016,1,1129,9204,57
Keyi Panyor,Arunachal Pradesh,2017,2,3972,3997,29
Keyi Panyor,Arunachal Pradesh,2018,2,2901,14586,81
Keyi Panyor,Arunachal Pradesh,2019,0,1520,7833,56
Keyi Panyor,Arunachal Pradesh,2020,2,2241,12669,62
Keyi Panyor,Arunachal Pradesh,2021,1,4167,11739,94
Keyi Panyor,Arunachal Pradesh,2022,1,4905,1392,99
Keyi Panyor,Arunachal Pradesh,2023,1,1817,9166,71
Keyi Panyor,Arunachal Pradesh,2024,0,3227,3093,24
Kra Daadi,Arunachal Pradesh,2015,0,3929,8773,58
Kra Daadi,Arunachal Pradesh,2016,1,861,13219,22
Kra Daadi,Arunachal Pradesh,2017,1,1505,2968,39
Kra Daadi,Arunachal Pradesh,2018,2,2341,9435,13
Kra Daadi,Arunachal Pradesh,2019,0,4318,14644,66
Kra Daadi,Arunachal Pradesh,2020,0,1904,8974,13
Kra Daadi,Arunachal Pradesh,2021,2,3122,13450,62
Kra Daadi,Arunachal Pradesh,2022,1,3868,9154,16
Kra Daadi,Arunachal Pradesh,2023,2,2801,14574,24
Kra Daadi,Arunachal Pradesh,2024,2,3962,5720,79
Kurung Kumey,Arunachal Pradesh,2015,0,3979,14585,29
Kurung Kumey,Arunachal Pradesh,2016,1,4458,10450,86
Kurung Kumey,Arunachal Pradesh,2017,0,3967,14452,21
Kurung Kumey,Arunachal Pradesh,2018,2,2840,12057,42
Kurung Kumey,Arunachal Pradesh,2019,0,4763,5813,96
Kurung Kumey,Arunachal Pradesh,2020,0,1704,13094,72
Kurung Kumey,Arunachal Pradesh,2021,0,3063,3078,39
Kurung Kumey,Arunachal Pradesh,2022,1,4462,6852,15
Kurung Kumey,Arunachal Pradesh,2023,1,1760,8119,47
Kurung Kumey,Arunachal Pradesh,2024,1,2566,11786,89
Leparada,Arunachal Pradesh,2015,2,1184,9749,40
Leparada,Arunachal Pradesh,2016,2,3847,13491,84
Leparada,Arunachal Pradesh,2017,1,3932,2277,32
Leparada,Arunachal Pradesh,2018,0,1390,3358,62
Leparada,Arunachal Pradesh,2019,2,4708,7459,56
Leparada,Arunachal Pradesh,2020,1,1564,9827,24
Leparada,Arunachal Pradesh,2021,1,3093,6714,60
Leparada,Arunachal Pradesh,2022,0,1863,2481,100
Leparada,Arunachal Pradesh,2023,1,4642,14876,28
Leparada,Arunachal Pradesh,2024,0,2866,11639,76
Lohit,Arunachal Pradesh,2015,0,4487,3958,48
Lohit,Arunachal Pradesh,2016,2,662,1092,82
Lohit,Arunachal Pradesh,2017,0,3117,1556,33
Lohit,Arunachal Pradesh,2018,1,1204,5256,12
Lohit,Arunachal Pradesh,2019,1,2917,5391,18
Lohit,Arunachal Pradesh,2020,2,3007,8980,79
Lohit,Arunachal Pradesh,2021,2,3696,14920,70
Lohit,Arunachal Pradesh,2022,2,3535,3305,43
Lohit,Arunachal Pradesh,2023,1,2726,3392,53
Lohit,Arunachal Pradesh,2024,2,4291,8060,98
Longding,Arunachal Pradesh,2015,2,3506,6908,25
Longding,Arunachal Pradesh,2016,2,3996,12589,16
Longding,Arunachal Pradesh,2017,2,1279,8322,49
Longding,Arunachal Pradesh,2018,0,4083,13448,83
Longding,Arunachal Pradesh,2019,0,1170,4682,97
Longding,Arunachal Pradesh,2020,0,609,14245,54
Longding,Arunachal Pradesh,2021,1,1631,12711,100
Longding,Arunachal Pradesh,2022,2,3925,4780,26
Longding,Arunachal Pradesh,2023,2,572,1201,56
Longding,Arunachal Pradesh,2024,1,3308,14232,74
Lower Dibang Valley,Arunachal Pradesh,2015,1,1021,12799,97
Lower Dibang Valley,Arunachal Pradesh,2016,2,3093,14714,89
Lower Dibang Valley,Arunachal Pradesh,2017,1,2077,8539,12
Lower Dibang Valley,Arunachal Pradesh,2018,1,1779,5219,10
Lower Dibang Valley,Arunachal Pradesh,2019,1,2390,10202,24
Lower Dibang Valley,Arunachal Pradesh,2020,1,3987,2141,29
Lower Dibang Valley,Arunachal Pradesh,2021,0,2646,5977,19
Lower Dibang Valley,Arunachal Pradesh,2022,2,1620,14045,48
Lower Dibang Valley,Arunachal Pradesh,2023,0,4567,11042,89
Lower Dibang Valley,Arunachal Pradesh,2024,1,2792,12551,24
Lower Siang,Arunachal Pradesh,2015,2,1609,8506,78
Lower Siang,Arunachal Pradesh,2016,0,4611,5184,54
Lower Siang,Arunachal Pradesh,2017,2,2757,8897,80
Lower Siang,Arunachal Pradesh,2018,2,2422,1140,89
Lower Siang,Arunachal Pradesh,2019,1,4780,1603,12
Lower Siang,Arunachal Pradesh,2020,1,2048,13572,58
Lower Siang,Arunachal Pradesh,2021,2,3545,11409,30
Lower Siang,Arunachal Pradesh,2022,2,2935,3040,16
Lower Siang,Arunachal Pradesh,2023,0,4381,10823,34
Lower Siang,Arunachal Pradesh,2024,0,3643,6541,67
Lower Subansiri,Arunachal Pradesh,2015,0,4616,9765,76
Lower Subansiri,Arunachal Pradesh,2016,0,2592,7365,30
Lower Subansiri,Arunachal Pradesh,2017,2,2204,1663,46
Lower Subansiri,Arunachal Pradesh,2018,1,2687,2621,35
Lower Subansiri,Arunachal Pradesh,2019,0,4770,10671,76
Lower Subansiri,Arunachal Pradesh,2020,0,4295,4320,94
Lower Subansiri,Arunachal Pradesh,2021,2,846,4648,32
Lower Subansiri,Arunachal Pradesh,2022,2,2151,13505,38
Lower Subansiri,Arunachal Pradesh,2023,1,4751,6899,19
Lower Subansiri,Arunachal Pradesh,2024,2,4178,8607,96
Namsai,Arunachal Pradesh,2015,2,3261,4190,71
Namsai,Arunachal Pradesh,2016,0,1323,14075,13
Namsai,Arunachal Pradesh,2017,1,3148,13600,41
Namsai,Arunachal Pradesh,2018,2,1647,3365,58
Namsai,Arunachal Pradesh,2019,2,4419,11183,44
Namsai,Arunachal Pradesh,2020,1,3732,13152,82
Namsai,Arunachal Pradesh,2021,2,4776,14552,64
Namsai,Arunachal Pradesh,2022,2,4092,2202,20
Namsai,Arunachal Pradesh,2023,0,4686,3460,78
Namsai,Arunachal Pradesh,2024,1,2189,9471,98
Pakke Kessang,Arunachal Pradesh,2015,0,2120,2419,95
Pakke Kessang,Arunachal Pradesh,2016,0,1736,1030,23
Pakke Kessang,Arunachal Pradesh,2017,1,2384,11241,94
Pakke Kessang,Arunachal Pradesh,2018,2,3990,9935,31
Pakke Kessang,Arunachal Pradesh,2019,1,2840,7902,71
Pakke Kessang,Arunachal Pradesh,2020,0,2828,10529,38
Pakke Kessang,Arunachal Pradesh,2021,2,3459,11101,73
Pakke Kessang,Arunachal Pradesh,2022,2,3947,4949,86
